Species Photosynthetic
Pythium_ultimum No
Phaeodactylum_triconutum Yes
Thalassiosira_pseudonana_CCMP1335 Yes
Thraustochytrium_aureum No
Plasmodiophora_brassicae No
Gymnophrys_sp No
Bigelowiella_natans Yes
Paracercomonas_marina No
Paulinella_chromatophora Yes
Thaumatomonas_coloniensis No
Pavlova_gyrans Yes
Emiliania_huxleyi Yes
Porphyra_purpurea Yes
Porphyridium_aerugineum Yes
Cyanidioschyzon_merolae Yes
Trimastix_pyriformis No
Malawimonas_jakobiformis No
Chlorokybus_atmophyticus Yes
Mesostigma_viride Yes
Physcomitrella_patens_patens Yes
Micromonas_sp Yes
Coccomyxa_sp Yes
Chlamydomonas_reinhardtii Yes
Roombia_truncata No
Guillardia_theta Yes
Glaucocystis_nostochinearum Yes
Cyanophora_paradoxa Yes
Spizellomyces_punctatus No
Capsaspora_owczarzaki No
Trichoplax_adhaerens No
Monosiga_brevicollis No
Spathidium_spp No
Paramecium_tetraurelia No
Ichthyophthirius_multifiliis No
Pseudourostyla_cristata No
Sterkiella_histriomuscorum No
Uroleptus_pisces No
Halteria_grandinella No
Loxodes_striatus No
Spirostomum_ambiguum No
Stentor_spp No
Blepharisma_japonicum No
Colponema_sp No
Chromera_velia Yes
Vitrella_brassicaformis Yes
Eimeria_tenella No
Toxoplasma_gondii No
Theileria_annulata_Ankara No
Babesia_microti No
Ascogregarina_taiwanensis No
Cryptosporidium_muris No
Cryptosporidium_parvum No
Perkinsus_marinus No
Heterocapsa_spp Yes
Prorocentrum_micans Yes
Karenia_spp Yes
Akashiwo_sanguinea Yes
Alexandrium_minutum Yes
Colponema_edaphicum No
Cafeteria_roenbergensis No
Caecitellus_parvulus No
Nannochloropsis_gaditana Yes
Aureococcus_anophagefferens Yes
Heterosigma_akashiwo Yes
Ectocarpus_siliculosus Yes
Ochromonas_danica Yes
Spumella_sp Yes

Saprolegniaceae	No
