Species Photosynthetic
Pythium_ultimum No
Phaeodactylum_triconutum Yes
Thalassiosira_pseudonana_CCMP1335 Yes
Thraustochytrium_aureum_ATCC34304 No
Plasmodiophora_brassicae_NGY No
Gymnophrys_sp_ATCC50923 No
Bigelowiella_natans_CCMP621 Yes
Paracercomonas_marina_ATCC50344 No
Paulinella_chromatophora_FK01 Yes
Thaumatomonas_coloniensis_HFCC93 No
Pavlova_gyrans Yes
Emiliania_huxleyi Yes
Porphyra_purpurea Yes
Porphyridium_aerugineum Yes
Cyanidioschyzon_merolae Yes
Trimastix_pyriformis No
Malawimonas_jakobiformis No
Chlorokybus_atmophyticus_UTEX_LB_2591 Yes
Mesostigma_viride Yes
Physcomitrella_patens_patens Yes
Micromonas_sp_RCC299 Yes
Coccomyxa_sp_C-169 Yes
Chlamydomonas_reinhardtii Yes
Roombia_truncata No
Guillardia_theta Yes
Glaucocystis_nostochinearum Yes
Cyanophora_paradoxa Yes
Spizellomyces_punctatus_ATCC48900 No
Capsaspora_owczarzaki No
Trichoplax_adhaerens No
Monosiga_brevicollis_ATCC50154 No
Spathidium_spp No
Paramecium_tetraurelia No
Ichthyophthirius_multifiliis_G5 No
Pseudourostyla_cristata No
Sterkiella_histriomuscorum No
Uroleptus_pisces No
Halteria_grandinella No
Loxodes_striatus No
Spirostomum_ambiguum No
Stentor_spp No
Blepharisma_japonicum No
Colponema_sp_Peru No
Chromera_velia Yes
Vitrella_brassicaformis_CCMP3155 Yes
Eimeria_tenella No
Toxoplasma_gondii_RH No
Theileria_annulata_Ankara No
Babesia_microti_RI No
Ascogregarina_taiwanensis No
Cryptosporidium_muris_RN66 No
Cryptosporidium_parvum_Iowa/-1773 No
Perkinsus_marinus_ATCC50983 No
Heterocapsa_spp Yes
Prorocentrum_micans Yes
Karenia_spp Yes
Akashiwo_sanguinea Yes
Alexandrium_minutum Yes
Colponema_edaphicum_Chukotka2008/-1744 No
Cafeteria_roenbergensis No
Caecitellus_parvulus No
Nannochloropsis_gaditana_CCMP526 Yes
Aureococcus_anophagefferens Yes
Heterosigma_akashiwo Yes
Ectocarpus_siliculosus_Ec_32 Yes
Ochromonas_danica Yes
Spumella_sp_OF40 Yes
